
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:49 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 15 2028,SPX281215C06700000,1083.87,0,940.7,0,0,0,0.6862,0.0002,544,6700.00,SPX281215P06700000,677.86,0,578.3,594,0,0.2111,-0.3232,0.0002,880
Fri Dec 15 2028,SPX281215C06750000,1180.34,0,913.6,0,0,0,0.6787,0.0002,23,6750.00,SPX281215P06750000,613.07,0,592.5,608.4,0,0.2096,-0.3307,0.0002,3
Fri Dec 15 2028,SPX281215C06800000,1107,0,886.8,0,0,0,0.6711,0.0002,861,6800.00,SPX281215P06800000,614.4,-18.9,606.9,623,58,0.208,-0.3384,0.0002,899
Fri Dec 15 2028,SPX281215C06850000,0,0,860.2,0,0,0,0.6634,0.0002,0,6850.00,SPX281215P06850000,0,0,621.6,637.9,0,0.2064,-0.3461,0.0002,0
Fri Dec 15 2028,SPX281215C06900000,1108.28,27.83,833.8,0,8,0,0.6555,0.0002,1411,6900.00,SPX281215P06900000,642.54,-21.31,636.5,653,16,0.2048,-0.3539,0.0002,1717
Fri Dec 15 2028,SPX281215C06950000,0,0,1070.7,1089.8,0,0.2038,0.6476,0.0002,0,6950.00,SPX281215P06950000,0,0,651.7,668.4,0,0.2032,-0.3619,0.0002,0
