
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:49 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 15 2027,SPX270115C06750000,552.27,0,572.3,575.9,0,0.1934,0.615,0.0003,2289,6750.00,SPX270115P06750000,341.55,-26.4,342.8,345.1,794,0.1934,-0.3872,0.0003,1315
Fri Jan 15 2027,SPX270115C06775000,536.57,0,555.5,559.2,0,0.1918,0.607,0.0003,131,6775.00,SPX270115P06775000,348.94,-26.76,350.3,352.5,37,0.1919,-0.3953,0.0003,375
Fri Jan 15 2027,SPX270115C06800000,543.25,24.2,538.9,542.3,186,0.1902,0.5988,0.0003,3875,6800.00,SPX270115P06800000,357.82,-25.88,357.6,360.1,1201,0.1902,-0.4034,0.0003,5507
Fri Jan 15 2027,SPX270115C06825000,522.13,19.33,522.4,525.8,10,0.1886,0.5905,0.0004,550,6825.00,SPX270115P06825000,368.14,-23.66,365.4,367.8,77,0.1886,-0.4118,0.0004,1173
Fri Jan 15 2027,SPX270115C06850000,401.2,0,506,509.4,0,0.1869,0.582,0.0004,4086,6850.00,SPX270115P06850000,370.8,-29.25,373.1,375.7,26,0.1869,-0.4202,0.0004,1310
Fri Jan 15 2027,SPX270115C06875000,490.46,19.46,489.8,493.4,110,0.1853,0.5734,0.0004,751,6875.00,SPX270115P06875000,378.6,-29.9,381.2,383.8,126,0.1853,-0.4288,0.0004,476
