
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:49 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 19 2031,SPX311219C06000000,2313.87,0,2199.4,2499.4,0,0,0.8322,0.0001,2927,6000.00,SPX311219P06000000,557.25,0,482.7,619.6,0,0.2375,-0.2037,0.0001,3136
Fri Dec 19 2031,SPX311219C06400000,1966.14,0,1984.4,2284.4,0,0,0.7997,0.0001,46,6400.00,SPX311219P06400000,716.82,0,581.9,722.5,0,0.2314,-0.2362,0.0001,1056
Fri Dec 19 2031,SPX311219C06800000,1920.05,25.55,0,0,20,0,0.7647,0.0001,317,6800.00,SPX311219P06800000,757.45,-14.55,686.6,832.6,5,0.2247,-0.2712,0.0001,230
Fri Dec 19 2031,SPX311219C07000000,1852.9,59.6,1765.4,1881.8,1,0,0.7463,0.0001,378,7000.00,SPX311219P07000000,827.92,0,741.5,888.7,0,0.221,-0.2896,0.0001,629
Fri Dec 19 2031,SPX311219C07200000,1717.15,30.25,1663.9,1781.5,5,0,0.7273,0.0001,235,7200.00,SPX311219P07200000,870.3,-15.85,796.6,946.6,5,0.2172,-0.3086,0.0001,81
Fri Dec 19 2031,SPX311219C07600000,1252.25,0,1464.5,1584.2,0,0,0.6875,0.0001,59,7600.00,SPX311219P07600000,1122.46,0,908.9,1066.3,0,0.2088,-0.3484,0.0001,38
